,ACER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
83,Inventec,Kohjinsha SX3[54],1.2,2.64,8.9,1280x768,168,Atom,1.3,,?,?,SSD,?,?,?,?,?,?,,?,Vista,,,
84,LEMOTE,,,,,,,,,,,,,,,,,,,,,,,,
85,Manufacturer,Model,Weight [kg],Weight [lb],"Display size """,Display resolution,Display DPI[Note 1],CPU,Speed [GHz],HSDPA,Video chipset,Video connection(s),Storage type,Storage [GB],RAM [GB],Battery life [h] (low end),Battery life [h] (high end),Keyboard size in %[Note 2],Camera,Mouse layout,Linux/Unix OS choice(s),Windows OS choice(s),Manual / DataSheet,,
86,Lemote,Lemote YeeLoong (?),1.0,2.2,8.9,1024×600 WSVGA,133,Loongson,0.9,,SM 712,VGA,HDD/SSD,160,1,2.5 (3-cell),5.5 (6-cell),95%,?,,Debian,None (not x86 based),,,
87,LENOVO,,,,,,,,,,,,,,,,,,,,,,,,
88,Lenovo,IdeaPad S10[55],"1.1, 1.3","2.43, 2.87",10.2,1024×600 WSVGA matte,116,Atom,1.6,,GMA 950,VGA,HDD,160,1,3 (3-cell),6 (6-cell),85%,1.3MP,,SUSE Linux (no longer offered Apr 2009),"XP, 7",,,
89,LG,,,,,,,,,,,,,,,,,,,,,,,,
90,LG,LG X110 (OEM version of MSI Wind)[Note 6][56],1.19,2.62,10,1024×600 WSVGA matte,118,Atom,1.6,,?,?,HDD,"80, 120, 160","0.5, 1",?,?,?,?,,?,XP,,,
91,LG,Xnote B8310[57],0.59,1.30,4.8,800×480,194,Atom,?,,?,?,HDD,?,1,?,?,?,?,,?,?,,,
92,MAXDATA BELINEA,,,,,,,,,,,,,,,,,,,,,,,,
93,Maxdata Belinea,S-Book[58],1.0,2.2,8.9,?,?,C7-M,1–1.2,,?,?,SSD,?,?,?,?,?,?,,?,Vista,,,
94,MEDION,,,,,,,,,,,,,,,,,,,,,,,,
95,Medion,Akoya E1210 Mini (OEM version of MSI Wind)[Note 6][59],1.2,2.65,10,1024×600 WSVGA matte,118,Atom,1.6,,?,VGA,HDD,"80, 160",1,?,?,?,?,,?,XP,,,
96,MSI,,,,,,,,,,,,,,,,,,,,,,,,
97,MSI,Wind U100,"1.04, 1.18","2.29, 2.6",10,1024×600 WSVGA matte,118,Atom,0.8 ~ 1.6 / 2.0 oc.,,GMA 950,VGA,HDD,80 / 120 / 160,"0.5, 1",2.5 (3-cell),5.5 (6-cell),95%,1.3MP,,Suse,XP,,,
98,MSI,Wind U120,1.10,2.42,10,1024×600 WSVGA,118,Atom,1.6,,?,VGA,"HDD, SSD",80/160,1,?,?,?,?,,?,XP,,,
99,NetColors,Mini 10-N270[60],"0.99, 1.26","2.18, 2.77",8.9,"1024×600 WSVGA, glossy",133,Atom N270,1.6,,GMA 950,?,"SSD + SDHC, HDD","16, 32 / 160, 320","1GB, 2GB[60]",3 (3-cell),6–7 (6-cell),89%,?,,Ubuntu[60],XP,,,
100,NTT System,Corrino 100A[61],1.2,2.65,10.2,1024×600,116,Geode LX800,0.5,,?,?,HDD,60,1,? Li-Po,? Li-Po (4200 mAh),?,?,,Unspecified,XP,,,
101,One,A110,0.95,2.1,7,800x480,133,C7,1.0,,S3 VX800,VGA,"SSD, HDD","2, 4 / 60",0.5,?,?,?,?,,Linpus,XP,,,
102,One,A440,1.2,2.6,10.2,1024x600,116,C7,1.6,,?,?,HDD,80,1,"? (3 cells, 2200 mAh)",?,?,?,,Linpus,XP,,,
103,Nokia,,,,,,,,,,,,,,,,,,,,,,,,
104,Nokia,Nokia Booklet 3G,1.2,2.6,10.1,1280×720,?,Intel Atom Z530,1.6,?,?,?,HDD,120,1024,No,?,?,?,?,?,7,,,
105,PACKARD BELL,,,,,,,,,,,,,,,,,,,,,,,,
